Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Book;324; V. N. Karpovich, H. I. Pilipas and F. N. Shklyarevich;1980;; The nesting ecology of Common Guillemot. (in Russian); Ekologiya ptits morskikh poberezhij (Bird ecology at the sea-shore); Moscow;;5-16;1980; The nesting ecology of Common Guillemot. (in Russian);2750; Barents Sea, Murman, Common Murre, Breeding, Foraging, Behavior;;;
  Book;460; Y. N. Mineev;1980;; The distribution of Swans on tundra of the european north-eastern part of the USSR. (in Russian); Sezonnaya ritmika ischezayushchikh rastenij i zhivotnikh. (Seasonal rythms of edangered plants and animals); Moscow;;142-144;1980; The distribution of Swans on tundra of the european north-eastern part of the USSR. (in Russian);4740; Barents Sea, Nenets District, Swans, Distribution, Tundra;;;
  Book;570; F. N. Shklyarevich and Y. V. Krasnov;1980;; The first observed nesting by the Bean Goose (Anser fabalis Lath.) and the Purple Sandpiper (Calidris maritima Brunn.) at the Seven Islands. (in Russian); Ekologiya ptits morskikh poberezhij. (The ecology of seashore birds); Moscow;;89-91;1980; The first observed nesting by the Bean Goose (Anser fabalis Lath.) and the Purple Sandpiper (Calidris maritima Brunn.) at the Seven Islands. (in Russian);6310; Barents Sea, Murman, Bean Goose, Purple Sandpiper, Distribution, Breeding;;;
  Book;367; V. D. Kokhanov;1981;; The seasonal distribution of the Kandalaksha population of Common Eider, and recomendations for its protection. (in Russian); Priroda Severa i ee okhrana. (Nature of the North and its protection); Murmansk;;16-19;1981; The seasonal distribution of the Kandalaksha population of Common Eider, and recomendations for its protection. (in Russian);4160; White Sea, Common Eider, Phenology, Distribution, Mamagement;;;
  Conference Proceedings;368; V. D. Kokhanov;;; Peculiarities of migration of Common Scoter and Long-tailed Duck on White sea and Baltic. (in Russian);; Riga;1;139-143;1981; Peculiarities of migration of Common Scoter and Long-tailed Duck on White sea and Baltic. (in Russian);4170; White sea, Ducks, Movements;;;
  Book;369; V. D. Kokhanov;1981;; Present areas of distribtion of gulls in the White Sea and the Murman. (in Russian); Nauchnye ocnovy obsledovaniya kolonialnykh gnezdovij okolovodnykh ptits. (Scientific backgrounds for investigation of colonial waterbids nesting sites); Moscow;;63-64;1981; Present areas of distribtion of gulls in the White Sea and the Murman. (in Russian);4180; Barents Sea, White Sea, Gulls, Distribution, Breeding;;;
  Conference Proceedings;370; V. D. Kokhanov;;; On the distribution and ecology of Cormorant on White sea. (in Russian);; Syktyvkar;2;93;1981; On the distribution and ecology of Cormorant on White sea. (in Russian);4190; White sea, Cormorant, Breeding, Distribution;;;
  Book;379; A. S. Koryakin;1981;; The distribution of broods of Common Eider in the vicinity of the Viliki Island (Kandalaksha Bay, White Sea). (in Russian); Ecologiya i ecologicheskaya fiziologiya ptits. (Ecology and ecological physiology of birds); Riga;2;76-79;1981; The distribution of broods of Common Eider in the vicinity of the Viliki Island (Kandalaksha Bay, White Sea). (in Russian);3790; White Sea, Common Eider, Distribution, Behaviour, Breeding;;;
  Conference Proceedings;380; A. S. Koryakin;;; Mating behaviour of the Common Eider. (in Russian);; Kishinev;;114;1981; Mating behaviour of the Common Eider. (in Russian);4100; Barents sea, White Sea, Common Eider, Breeding, Behaviour;;;
  Book;397; A. N. Kovalev;1981;; The nesting of the Arctic Tern at the Bolshoy Litski island (Barents Sea). (in Russian); Ecologia i okhrana ptits. (Ecology and protection of birds); Kishinev;;107;1981; The nesting of the Arctic Tern at the Bolshoy Litski island (Barents Sea). (in Russian);3750; Barents Sea, Murman, Arctic tern, Breeding;;;
  Book;400; Y. V. Krasnov;1981;; Cleptoparasitism of gulls, genus Larus, in the area of the 'Seven islands' (Eastern Murman). (in Russian); Ekologiya i okhrana ptits. (Ecology and birds protection); Kishinev;;117-118;1981; Cleptoparasitism of gulls, genus Larus, in the area of the 'Seven islands' (Eastern Murman). (in Russian);4260; Barents Sea, Murman, Gulls, Foraging, Behaviour;;;
  Conference Proceedings;411; Y. V. Krasnov, I. F. Golovatskaya and T. Y. Solov'eva;;; The predation of Great Black-backed and Herring Gulls nearby the birdcolonies of the Seven Islands (Eastern  Murman). (in Russian);; Syktyvkar;2;34;1981; The predation of Great Black-backed and Herring Gulls nearby the birdcolonies of the Seven Islands (Eastern  Murman). (in Russian);4420; Barents Sea, Murman, Gulls, Predators, Behaviour;;;
  Journal Article;461; Y. N. Mineev;1981; Izvestiya Akademii Nauk SSSR. Seriya geograficheskaya. (News of Ac. Sci. of USSR. Geographical seria); Seasonal distribution and number of waterbirds at the Malozemelskaya tundra. Russian);;;4;119-122;1981; Seasonal distribution and number of waterbirds at the Malozemelskaya tundra. Russian);4750; Barents Sea, Nenets District, Ducks, Geese, Distribution, Tundra, Phenology;;;
  Conference Proceedings;617; I. P. Tatarinkova;;; Some factors influencing the distribution of the nests of the Eider among the habitats at the Ainov Islands. (in Russian);; Riga;1;68-71;1981; Some factors influencing the distribution of the nests of the Eider among the habitats at the Ainov Islands. (in Russian);5520; Barents Sea, Murman, Common Eider, Breeding, Distribution, Predators, Habitat;;;
  Book;618; I. P. Tatarinkova;1981;; Peculiarities in the ecology of larger gulls as a possible mechanism to regulate population-size. (in Russian); Nauchnye osnovy obsledovaniya kolonialnykh gnezdovij okolovodnykh ptits. (Scientific background of the waterbird colonial nesting sites investigation); Moscow;;113-114;1981; Peculiarities in the ecology of larger gulls as a possible mechanism to regulate population-size. (in Russian);5530; Barents Sea, Murman, Herring Gull, Great Black-backed Gull, Breeding, Population trend;;;
  Journal Article;644; A. V. Tikhonov and S. Y. Fokin;1981; Zoologicheski zhurnal. (Zoological journal); Ecological determination of trigger stimulus in the feeding functional system of Alcid birds on earlier Embryoontogenic stages. (in Russian);;;60;271-281;1981; Ecological determination of trigger stimulus in the feeding functional system of Alcid birds on earlier Embryoontogenic stages. (in Russian);5760; Barents sea, Murman, Alcids, Breeding, Diet, Foraging, Diet;;;
  Journal Article;645; A. V. Tikhonov and S. Y. Fokin;1981; Zhurnal obshchey biologii. (Journal of common biology); Acoustic signalling of alcids (Alcidae) in early ontogenetic stages. Prenatal stages of development. (in Russian);;;42;743-750;1981; Acoustic signalling of alcids (Alcidae) in early ontogenetic stages. Prenatal stages of development. (in Russian);5770; Razorbill, Murres, Black Guillemot, Puffin, Behaviour, Breeding;;;
  Journal Article;51; L. O. Belopolski, V. N. Babaryka, L. A. Bugaev and L. V. Smirnova;1982; Doklady Akademii Nauk SSSR (Reports of USSR Academy of Science); Ecological peculiarities of seabird distribution in open sea during a year. (in Russian);;;262;508-512;1982; Ecological peculiarities of seabird distribution in open sea during a year. (in Russian);2250; Atlantic, Alcids, Larids, Procellariids, Distribution, Foraging;;;
  Book;105; V. V. Biancki;1982;; The Kola Peninsula. Regional historical reviews of the study of bird fauna in the USSR. (in Russian); Ptitsy SSSR. Istoriya izucheniya. Gagary. Poganki. Trubkonosye.(Birds of the USSR. History of study. Divers. Grebes. Procellarids.); Moscow;;20-25;1982; The Kola Peninsula. Regional historical reviews of the study of bird fauna in the USSR. (in Russian);3490; Barents Sea, White Sea, Bibliography;;;
  Book;134; V. V. Biancki, Y. V. Krasnov and V. E. Sorokin;1982;; Additional data on the shorebirds of the White Sea. (in Russian); Ornitologiya. (Ornithologia); Moscow;17;159;1982; Additional data on the shorebirds of the White Sea. (in Russian);4010; White Sea, Waders, Distribution;;;
  Book;150; N. S. Boyko;1982;; Morphological and ecological characteristics of the Common Eider of the Kandalaksha Bay. (in Russian); Ekologiya i morphologiya ptits na Kraynem severo-zapade SSSR. (Ecology and morphology of birds of USSR Far north-west); Moscow;;11-27;1982; Morphological and ecological characteristics of the Common Eider of the Kandalaksha Bay. (in Russian);4030; White Sea, Common Eider, Biometry, Foraging;;;
  Book;153; N. S. Boyko, V. D. Kokhanov and F. N. Shklyarevich;1982;; Morpho-physiological comparison of Common Eiders from different regions of the White Sea and Murman with other waterbirds. (in Russian); Ekologiya i morfologiya ptits na Kraynem severo-zapade SSSR. Sbornik nauchnykh trudov TSNIL Glavokhoty RSFSR. (Ecology and morphology of birds of the far north-west of the USSR. Transactions of TSNIL Glavokhoty RSFSR); Moscow;;45-56;1982; Morpho-physiological comparison of Common Eiders from different regions of the White Sea and Murman with other waterbirds. (in Russian);4050; Barents Sea, Murman, White Sea, Common Eider, Biometry, Diet, Foraging, Movements;;;
  Book;160; V. T. But'ev;1982;; The northern part of the european USSR. Regional historical reviews of the study of avifauna of the USSR. (in Russian).; Ptitsy  SSSR. Istoriya izucheniya. Gagary. Poganki. Trubkonosye. (Birds of the USSR. History of study. Divers. Grebes. Procellarids.); Moscow;;34-43;1982; The northern part of the european USSR. Regional historical reviews of the study of avifauna of the USSR. (in Russian).;3500; Barents Sea, Nenets district, Bibliography;;;
  Book;195; A. A. Estaf'ev;1982;; Breeding ecology of waders from the Bolshezemelskaya tundra. (in Russian); Fauna i ecologiya ptits i mlekopitayuschikh evropeyskogo Severo-Vostoka SSSR. Trudy Komi Filiala A. N. SSSR. (Fauna and ecology of birds and mammals of the european North-East of the USSR.Proceedings of Komi branch Ac. Sci.); Syktyvkar;51;21-28;1982; Breeding ecology of waders from the Bolshezemelskaya tundra. (in Russian);3520; Barents Sea, Nenets district, Waders, Breeding;;;
  Book;210; V. E. Flint;1982;; Order Gaviiformes. (in Russian); Ptitsy SSSR. Istoriya izucheniya. Gagary, Poganky, Trubkonosye. (Birds of the  USSR. History of study. Loones, Grebes, Tubenoses); Moscow;;245-288;1982; Order Gaviiformes. (in Russian);6110; Barents Sea, White Sea, Loons, Distribution, Breeding, Feeding, Behaviour, Predators;;;
  Book;254; A. N. Golovkin;1982;; The role of birds in marine ecosystems. (in Russian); Rol ptits v ecosystemakh. Itogi nauki i tekhniki. Seria zoologii pozvonochnykh (The role of birds in ecosystems. Results of science and technology. Seria of vertebrate zoology); Moscow;11;92-157;1982; The role of birds in marine ecosystems. (in Russian);2580; Barents Sea, Murman, Novay Zemlya, White Sea, Many Orders, Foraging, Prey stocks, Habitat, Distribution, Bird impact;;;
  Conference Proceedings;255; A. N. Golovkin;;; Seabird metabolites: a special kind of relationship between birds and the ecosystems in the sea. (in Russian);; Moscow;;103;1982; Seabird metabolites: a special kind of relationship between birds and the ecosystems in the sea. (in Russian);6460; Barents Sea, Bird impact, Alcids, Larids, Foraging, Habitat;;;
  Book;283; Y. A. Isakov;1982;; The status of scientific knowledge of the birdfauna of the USSR. (in Russian); Ptitsy SSSR. Istoriya izucheniya. Gagary. Poganki. Trubkonosye. (Birds of the USSR. History of study. Divers. Grebes. Tubenoses); Moscow;;208-228;1982; The status of scientific knowledge of the birdfauna of the USSR. (in Russian);3560; Barents Sea, White Sea, Bibliography;;;
  Book;286; A. I. Ivanov;1982;; Chronological list of the main publications on the USSR fauna. (in Russian).; Ptitsy SSSR. Istoriya izuucheniya. Gagary. Poganki. Trubkonosye. (Birds of the USSR. History of the study. Divers. Grebes. Tubenoses).; Moscow;;228-244;1982; Chronological list of the main publications on the USSR fauna. (in Russian).;3550; Barents Sea, White Sea, Many orders, Bibliography;;;
  Book;313; V. N. Karpovich;1982;;50 years of study and protection of seabirds in the Kandalaksha reserve. (in Russian); Ecologiya i morfologiya ptits na kraynem severo-zapade SSSR. Sb. nauchykh trudov TSNIL Glavokhoty RSFSR. (Ecology and morphology of birds on the far  north-west of the USSR. Transactions of TSNIL Glavokhoty of the RSFSR); Moscow;;3-11;1982;50 years of study and protection of seabirds in the Kandalaksha reserve. (in Russian);4080; Barents Sea, Murman, White Sea, Gulls, Alcids, Eiders, Mamagement;;;
  Book;381; A. S. Koryakin;1982;; Growth and development of the chicks of Common Eider of the Kandalaksha Bay. (in Russian); Ekologiya i morfologiya ptits na kraynem severo-zapade SSSR. (Ecology and morphology of birds of the far north-west of the USSR); Moscow;;27-37;1982; Growth and development of the chicks of Common Eider of the Kandalaksha Bay. (in Russian);3800; White Sea, Common Eider, Breeding, Moult, Biometry;;;
  Journal Article;382; A. S. Koryakin;1982; Vestnik Leningradskogo universiteta. (Herald of Leningrad university); Some peculiarities of bird behaviour in broods of Common Eider (Somateria mollissima). (in Russian);;;21;12-19;1982; Some peculiarities of bird behaviour in broods of Common Eider (Somateria mollissima). (in Russian);3820; White sea, Common Eider, Behaviour, Breeding;;;
  Conference Proceedings;742; A. S. Koryakin;;; Behavioural regulation of nest distribution of the Common Eider;;1982;;180-181;; Behavioural regulation of nest distribution of the Common Eider;; Common Eider, Breeding biology, Behavior;; Russian;
;391; A. S. Koryakin and A. V. Kondratjev;1982;; Behaviour of chicks in the broods of Common Eider and Red-breasted Merganser. (in Russian); Ekologicheskie issledovaniya i okhrana ptits Pribaltijskikh respublik. (Ecological research and bird protection of the Baltic republics); Kaunas;;117-119;1982; Behaviour of chicks in the broods of Common Eider and Red-breasted Merganser. (in Russian);4130; White Sea, Common Eider, Breeding, Behaviour;;;
